@relation SemanalAcumulada_8-UltimasSemanas_8x2

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data
91311298,4,15,22,4,3,1,1,1,10,False
91311298,5,19,28,5,4,4,2,2,17,False
91311298,6,22,32,6,4,4,2,3,19,False
91311298,7,24,36,7,5,5,2,3,22,False
91311298,8,31,43,8,6,5,3,3,25,False
91311298,9,30,46,8,5,5,3,3,24,False
91311298,10,31,45,9,5,5,2,4,25,False
91311298,11,28,42,7,5,4,2,4,22,False
91311298,12,26,40,7,5,5,2,4,23,False
91311298,13,23,38,7,5,2,1,3,18,False
91311298,14,23,38,6,6,2,1,2,17,False
91311298,15,26,40,8,6,1,2,3,20,False
91311298,16,20,37,7,5,1,1,4,18,False
91311298,17,22,37,8,5,1,1,5,20,False
91311298,18,22,39,7,4,1,1,4,17,False
91311394,1,0,0,0,0,0,0,0,0,False
91311394,2,3,3,1,0,0,1,0,2,False
91311394,3,10,10,3,1,0,1,1,6,False
91311394,4,17,17,4,2,3,1,1,11,False
91311394,5,23,24,4,3,3,1,2,13,False
91311394,6,28,31,5,4,4,1,2,16,False
91311394,7,35,38,6,5,4,1,2,18,False
91311394,8,42,45,7,5,4,2,2,20,False
91311394,9,49,52,8,5,4,2,2,21,False
91311394,10,53,56,7,6,4,1,3,21,False
91311394,11,51,56,6,6,5,1,2,20,False
91311394,12,48,56,5,5,2,1,2,15,False
91311394,13,48,56,7,5,2,2,1,17,False
91311394,14,50,56,7,4,2,2,1,16,False
91311394,15,48,56,6,4,2,2,2,16,False
91311394,16,46,55,6,4,2,1,2,15,False
91311394,17,46,55,5,4,2,1,2,14,False
91311394,18,46,55,5,3,2,1,1,12,False
91311405,1,0,0,0,0,0,0,0,0,False
91311405,2,3,6,2,1,0,1,0,4,False
91311405,3,6,12,3,2,0,1,1,7,False
91311405,4,13,19,4,3,2,1,1,11,False
91311405,5,17,24,5,4,3,1,2,15,False
