@relation SemanalAcumulada_6-UltimasSemanas_6x1_reprovados

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data
91311183,3,5,13,2,1,1,1,0,5,False
91311183,4,8,18,2,1,1,2,1,7,False
91311183,5,12,22,3,1,4,2,2,12,False
91311183,6,14,26,4,1,4,2,3,14,False
91311183,7,17,26,8,1,4,2,3,18,False
91311183,8,20,28,9,2,5,2,3,21,False
91311183,9,19,28,10,1,5,2,3,21,False
91311183,10,19,28,11,1,6,1,2,21,False
91311183,11,18,29,10,2,3,1,2,18,False
91311183,12,19,28,10,2,4,1,1,18,False
91311183,13,16,26,6,2,4,1,1,14,False
91311183,14,11,24,3,1,2,0,1,7,False
91311183,15,12,25,3,2,2,1,1,9,False
91311183,16,10,24,2,2,1,1,2,8,False
91311183,17,8,25,2,1,1,1,1,6,False
91311183,18,7,29,1,1,0,1,1,4,False
91311298,1,2,3,0,1,0,0,0,1,False
91311298,2,5,9,0,2,0,1,0,3,False
91311298,3,11,16,3,3,1,1,1,9,False
91311298,4,15,22,4,3,1,1,1,10,False
91311298,5,19,28,5,4,4,2,2,17,False
91311298,6,22,32,6,4,4,2,3,19,False
91311298,7,22,33,7,4,5,2,3,21,False
91311298,8,26,34,8,4,5,2,3,22,False
91311298,9,21,33,5,3,4,2,2,16,False
91311298,10,21,32,5,4,4,2,3,18,False
91311298,11,20,30,5,4,1,1,3,14,False
91311298,12,19,30,5,4,2,1,2,14,False
91311298,13,18,30,5,4,1,1,2,13,False
91311298,14,14,27,4,4,1,0,2,11,False
91311298,15,18,27,7,5,1,1,3,17,False
91311298,16,15,26,6,4,1,1,3,15,False
91311298,17,15,28,6,3,1,1,3,14,False
91311298,18,17,31,5,3,0,1,3,12,False
91311394,1,0,0,0,0,0,0,0,0,False
91311394,2,3,3,1,0,0,1,0,2,False
91311394,3,10,10,3,1,0,1,1,6,False
91311394,4,17,17,4,2,3,1,1,11,False
91311394,5,23,24,4,3,3,1,2,13,False
91311394,6,28,31,5,4,4,1,2,16,False
91311394,7,35,38,6,5,4,1,2,18,False
91311394,8,39,42,6,5,4,1,2,18,False
91311394,9,39,42,5,4,4,1,1,15,False
91311394,10,39,42,4,4,1,1,2,12,False
91311394,11,38,42,5,4,2,1,1,13,False
91311394,12,37,42,4,3,1,1,1,10,False
91311394,13,36,42,5,3,1,2,1,12,False
91311394,14,36,42,5,3,2,1,1,12,False
91311394,15,34,42,4,4,2,1,2,13,False
91311394,16,32,41,5,3,2,1,1,12,False
91311394,17,34,41,4,2,1,1,1,9,False
91311394,18,37,41,4,2,1,1,1,9,False
91311405,1,0,0,0,0,0,0,0,0,False
91311405,2,3,6,2,1,0,1,0,4,False
91311405,3,6,12,3,2,0,1,1,7,False
91311405,4,13,19,4,3,2,1,1,11,False
91311405,5,17,24,5,4,3,1,2,15,False
91311405,6,21,31,7,5,3,1,2,18,False
91311405,7,26,37,8,6,4,1,2,21,False
91311405,8,27,37,6,6,4,1,2,19,False
91311405,9,25,34,5,5,4,1,1,16,False
91311405,10,22,33,6,5,2,1,2,16,False
91311405,11,20,33,6,5,2,1,1,15,False
91311405,12,20,31,4,5,2,1,1,13,False
91311405,13,19,30,3,5,1,1,1,11,False
91311405,14,21,30,4,5,1,1,1,12,False
91311405,15,25,33,4,6,1,1,2,14,False
91311405,16,24,33,2,5,1,1,1,10,False
91311405,17,23,34,1,4,0,1,1,7,False
91311405,18,23,33,2,3,0,1,1,7,False
91311082,1,0,0,0,0,0,0,0,0,False
91311082,2,2,2,2,0,2,1,0,5,False
91311082,3,3,7,3,1,2,1,1,8,False
91311082,4,4,8,4,1,2,1,1,9,False
91311082,5,4,9,4,1,2,1,1,9,False
91311082,6,5,11,4,2,2,1,2,11,False
91311082,7,6,12,5,3,3,1,2,14,False
91311082,8,5,11,3,4,1,0,2,10,False
91311082,9,4,8,2,3,1,0,1,7,False
91311082,10,4,8,2,4,1,0,1,8,False
91311082,11,5,10,3,4,2,0,1,10,False
91311082,12,4,9,3,3,2,0,0,8,False
91311082,13,3,9,2,2,1,0,0,5,False
91311082,14,4,10,2,2,1,0,0,5,False
91311082,15,6,11,2,3,1,1,0,7,False
91311082,16,6,11,1,2,1,1,0,5,False
91311082,17,8,11,0,3,0,1,0,4,False
91311082,18,11,14,0,3,0,1,0,4,False
91311435,1,0,0,0,0,0,0,0,0,False
91311435,2,2,3,1,0,1,0,0,2,False
91311435,3,6,7,2,0,1,1,0,4,False
91311435,4,7,10,3,1,1,1,1,7,False
